Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA140094,02/02/2017 17:00,THEFT,OTHER,FALSE,FALSE,12,2
JA140085,02/03/2017 09:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,15,28
JA140112,02/03/2017 10:36,CRIMINAL TRESPASS,GAS STATION,TRUE,FALSE,15,37
JA140018,02/03/2017 09:22,THEFT,CONVENIENCE STORE,FALSE,FALSE,9,3
JA140083,02/02/2017 23:00,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,8,23
JA140134,02/03/2017 10:55,THEFT,VEHICLE-COMMERCIAL,FALSE,FALSE,9,3
JA140066,02/03/2017 09:53,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,6,6
JA140071,02/02/2017 16:26,DECEPTIVE PRACTICE,RESTAURANT,FALSE,FALSE,1,42
JA140126,02/02/2017 22:15,THEFT,STREET,FALSE,FALSE,17,38
JA140102,02/03/2017 10:16,ASSAULT,APARTMENT,TRUE,FALSE,2,4
JA140052,02/03/2017 09:15,THEFT,STREET,FALSE,FALSE,8,18
JA139719,02/02/2017 21:30,THEFT,GAS STATION,FALSE,FALSE,22,34
JA140107,02/02/2017 18:00,THEFT,OTHER,FALSE,FALSE,1,42
JA140090,01/29/2017 09:00:00 AM,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,12,2
JA139837,02/03/2017 00:04,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,5,9
JA140070,01/28/2017 12:00:00 PM,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,18,42
JA140108,02/02/2017 21:45,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,1,42
JA140016,02/02/2017 20:15,THEFT,STREET,FALSE,FALSE,14,32
JA140113,01/24/2017 02:00:00 PM,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,14,35
JA139955,02/02/2017 10:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,14,1
JA139919,02/03/2017 05:45,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,16,36
JA140057,01/09/2017 12:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,25,26
JA139940,02/03/2017 07:10,ROBBERY,ALLEY,FALSE,FALSE,14,35
JA129293,01/23/2017 12:00:00 PM,OTHER OFFENSE,OTHER,FALSE,FALSE,12,26
JA140159,02/03/2017 11:20,THEFT,OTHER,FALSE,FALSE,24,49
JA140135,02/03/2017 10:42,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,8,23
JA140093,01/27/2017 11:00:00 AM,CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,6,17
JA140152,02/03/2017 08:40,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,25,31
JA140151,02/03/2017 10:20,THEFT,CONVENIENCE STORE,FALSE,FALSE,24,49
JA140149,02/02/2017 21:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,17,33
JA140089,02/03/2017 10:35,BATTERY,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,25,29
JA137897,01/31/2017 11:00:00 PM,BURGLARY,RESTAURANT,FALSE,FALSE,14,32
JA140161,02/03/2017 05:30,CRIMINAL DAMAGE,STREET,FALSE,FALSE,8,14
JA140173,02/01/2017 15:00,CRIMINAL DAMAGE,OTHER,FALSE,FALSE,1,2
JA140115,02/03/2017 01:30,THEFT,SIDEWALK,FALSE,FALSE,19,44
JA140065,02/03/2017 10:09,CRIMINAL TRESPASS,SMALL RETAIL STORE,TRUE,FALSE,8,13
JA140187,02/02/2017 18:30,THEFT,STREET,FALSE,FALSE,14,1
JA140182,02/02/2017 11:00,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,3,20
JA140007,02/02/2017 20:30,BATTERY,RESIDENCE,FALSE,TRUE,8,15
JA139939,02/02/2017 20:00,BATTERY,APARTMENT,FALSE,TRUE,7,16
JA140064,02/03/2017 09:34,OTHER OFFENSE,APARTMENT,FALSE,FALSE,6,17
JA122846,01/19/2017 09:00:00 PM,BURGLARY,ABANDONED BUILDING,FALSE,FALSE,7,17
JA139954,02/03/2017 07:55,ASSAULT,APARTMENT,FALSE,TRUE,8,18
JA140164,02/02/2017 13:00,THEFT,STREET,FALSE,FALSE,20,47
JA140160,02/03/2017 11:35,BATTERY,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,7,17
JA140031,02/02/2017 17:08,ROBBERY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,22,21
JA140111,01/26/2017 08:00:00 AM,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,7,17
JA140131,02/03/2017 10:25,BATTERY,APARTMENT,FALSE,FALSE,2,4
JA139067,02/02/2017 10:22,BATTERY,APARTMENT,FALSE,FALSE,8,18
JA140196,02/02/2017 18:00,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,12,1
JA140181,01/24/2017 12:00:00 AM,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,19,47
JA139996,02/03/2017 04:00,BURGLARY,APARTMENT,FALSE,FALSE,10,24
JA140217,02/03/2017 10:54,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,11,24
JA140206,01/10/2017 09:00,DECEPTIVE PRACTICE,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,12,2
JA140190,02/03/2017 10:50,NARCOTICS,SIDEWALK,TRUE,FALSE,1,2
JA139196,02/02/2017 12:30,BURGLARY,RESIDENCE,FALSE,FALSE,16,45
JA140169,02/03/2017 11:08,NARCOTICS,SIDEWALK,TRUE,FALSE,11,24
JA140203,02/01/2017 20:00,OBSCENITY,APARTMENT,TRUE,FALSE,9,20
JA140211,01/22/2017 12:00:00 PM,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,18,42
JA140226,02/03/2017 10:45,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,10,22
JA140215,02/02/2017 18:39,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,3,20
JA140241,02/02/2017 14:00,THEFT,SMALL RETAIL STORE,FALSE,FALSE,17,33
JA140201,02/02/2017 12:50,ASSAULT,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,5,9
JA140176,02/03/2017 11:35,ASSAULT,CTA STATION,FALSE,FALSE,14,35
JA140224,01/23/2017 12:00:00 PM,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,19,47
JA140154,02/03/2017 09:30,BATTERY,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,8,18
JA139969,02/02/2017 18:30,BATTERY,RESIDENCE,FALSE,FALSE,10,24
JA139947,02/02/2017 21:00,THEFT,APARTMENT,FALSE,FALSE,11,28
JA140147,02/03/2017 11:25,ROBBERY,ALLEY,FALSE,FALSE,12,2
JA140143,02/03/2017 10:00,NARCOTICS,APARTMENT,TRUE,FALSE,6,21
